29.12.2018;3;4;5;10;13;23;30;33
26.12.2018;1;7;9;15;16;18;30;25
22.12.2018;2;14;16;17;22;28;31;8
19.12.2018;1;4;5;13;21;22;31;14
15.12.2018;1;3;4;15;29;30;34;2
12.12.2018;1;12;17;18;24;32;33;10
8.12.2018;3;9;15;16;19;24;25;33
5.12.2018;6;7;13;14;24;26;34;19
1.12.2018;3;10;12;15;21;26;34;35
28.11.2018;2;3;5;7;8;17;34;20
24.11.2018;4;9;14;17;21;26;31;18
21.11.2018;1;3;5;13;18;23;27;35
17.11.2018;2;5;8;14;23;26;33;12
14.11.2018;4;5;11;13;26;30;34;9
10.11.2018;5;8;15;19;26;27;32;14
7.11.2018;6;8;17;21;27;28;30;35
3.11.2018;13;14;15;27;31;33;35;17
31.10.2018;7;18;22;26;27;29;34;19
27.10.2018;2;4;6;7;11;33;34;29
24.10.2018;3;5;6;10;17;28;29;18
20.10.2018;3;5;16;21;23;27;31;4
17.10.2018;7;13;17;19;24;28;34;30
13.10.2018;1;15;16;19;24;29;32;14
