23.6.2019;18;23;25;26;34;36;45
20.6.2019;4;8;35;37;39;40;23
16.6.2019;14;24;32;33;34;35;25
13.6.2019;2;4;5;7;16;35;15
9.6.2019;23;27;33;35;38;43;17
6.6.2019;5;15;30;35;42;45;14
2.6.2019;1;4;18;19;37;40;41
30.5.2019;12;15;16;38;39;44;18
26.5.2019;4;13;15;21;28;32;33
23.5.2019;8;11;14;18;19;26;22
19.5.2019;12;20;22;25;32;38;43
16.5.2019;15;20;29;34;36;37;13
12.5.2019;1;19;30;32;33;40;17
9.5.2019;4;13;17;18;24;36;35
5.5.2019;4;20;33;37;38;40;43
2.5.2019;7;13;18;23;25;31;9
28.4.2019;12;20;25;29;38;40;5
25.4.2019;3;15;18;19;31;45;23
21.4.2019;1;4;14;21;27;34;22
18.4.2019;15;16;22;27;36;42;20
14.4.2019;17;19;32;33;36;37;8
11.4.2019;10;22;31;33;36;41;18
7.4.2019;3;15;22;28;32;39;33
4.4.2019;1;4;31;34;38;42;36
31.3.2019;2;5;16;40;41;42;36
28.3.2019;14;16;19;21;41;45;13
24.3.2019;1;8;12;14;20;26;31
21.3.2019;23;35;37;38;41;43;27
17.3.2019;1;3;15;18;29;36;23
14.3.2019;5;10;16;18;27;41;12
10.3.2019;6;9;13;15;20;24;39
7.3.2019;14;16;21;29;36;38;45
3.3.2019;3;5;10;18;21;35;4
28.2.2019;3;4;14;25;28;42;33
24.2.2019;2;3;7;13;26;30;34
21.2.2019;6;13;21;23;33;35;38
17.2.2019;3;25;26;30;36;44;18
14.2.2019;4;15;23;27;41;45;16
10.2.2019;4;15;19;21;22;26;15
7.2.2019;10;15;16;23;34;42;20
3.2.2019;7;10;13;23;27;36;1
31.1.2019;9;20;26;27;43;45;15
27.1.2019;1;4;15;16;34;35;42
24.1.2019;27;31;35;37;43;44;10
20.1.2019;3;7;12;23;35;36;34
17.1.2019;1;2;3;19;29;44;40
13.1.2019;12;19;22;25;26;37;4
10.1.2019;3;4;6;26;27;35;38
6.1.2019;14;20;27;30;32;37;22
3.1.2019;6;7;8;9;26;30;36
