30.12.2018;5;13;17;36;38;39;2
27.12.2018;9;23;29;31;40;44;16
23.12.2018;27;29;33;39;42;44;22
20.12.2018;2;13;23;26;27;28;24
16.12.2018;3;7;16;21;28;42;24
13.12.2018;11;14;27;32;37;45;21
9.12.2018;3;19;21;34;39;41;1
6.12.2018;9;17;22;35;40;43;14
2.12.2018;2;15;20;34;35;45;3
29.11.2018;2;22;24;26;27;45;8
25.11.2018;9;10;16;20;29;45;30
22.11.2018;10;11;16;22;32;33;25
18.11.2018;13;28;35;37;41;45;32
15.11.2018;1;12;21;23;39;42;37
11.11.2018;3;24;30;34;36;39;41
8.11.2018;1;11;25;26;35;41;31
4.11.2018;2;13;14;17;38;39;36
1.11.2018;3;15;16;22;34;42;1
28.10.2018;8;22;33;35;39;43;44
25.10.2018;7;17;25;40;41;42;10
21.10.2018;16;28;31;34;41;43;23
18.10.2018;3;6;19;25;30;32;43
14.10.2018;10;15;35;36;42;44;9
11.10.2018;3;9;15;32;40;41;38
7.10.2018;11;32;36;38;42;44;8
4.10.2018;3;12;37;40;41;43;35
30.9.2018;2;4;18;20;25;38;45
27.9.2018;3;4;9;24;32;45;29
23.9.2018;9;12;17;25;32;34;35
20.9.2018;2;9;14;15;20;43;7
16.9.2018;3;11;22;25;26;44;2
13.9.2018;9;12;18;22;31;44;1
9.9.2018;3;8;14;22;29;39;35
6.9.2018;13;14;22;30;34;39;36
2.9.2018;5;14;17;23;36;39;25
30.8.2018;2;10;12;14;27;43;17
26.8.2018;2;9;25;37;38;45;5
23.8.2018;15;22;24;26;33;42;36
19.8.2018;3;4;15;22;36;37;7
16.8.2018;2;3;33;34;37;38;44
12.8.2018;11;13;16;25;37;42;35
9.8.2018;4;5;6;8;17;35;34
5.8.2018;8;11;12;13;18;44;29
2.8.2018;2;6;15;20;33;44;40
29.7.2018;3;5;7;18;32;44;15
26.7.2018;5;13;16;19;21;33;42
22.7.2018;21;25;33;34;35;45;15
19.7.2018;2;15;17;22;30;44;5
15.7.2018;4;5;21;26;40;42;3
12.7.2018;6;19;23;26;32;38;25
8.7.2018;15;21;25;29;38;41;4
5.7.2018;1;6;18;23;26;35;45
1.7.2018;20;21;23;33;34;38;16
28.6.2018;5;7;11;13;31;33;35
24.6.2018;3;14;29;31;33;38;8
21.6.2018;11;14;33;34;40;45;20
17.6.2018;2;14;16;20;28;33;15
14.6.2018;3;6;9;10;41;44;20
10.6.2018;2;15;16;23;28;39;9
7.6.2018;4;20;22;24;26;40;11
3.6.2018;2;6;21;23;30;41;5
31.5.2018;18;19;22;23;25;28;44
27.5.2018;12;16;26;29;31;36;5
24.5.2018;1;2;15;32;41;42;21
20.5.2018;5;6;11;28;31;42;29
17.5.2018;3;6;11;15;40;45;10
13.5.2018;2;17;18;22;36;37;10
10.5.2018;5;15;18;23;35;40;27
6.5.2018;8;10;15;18;25;36;43
3.5.2018;4;6;8;14;15;28;21
29.4.2018;9;17;29;33;35;44;27
26.4.2018;3;15;17;25;35;37;29
22.4.2018;6;10;15;21;32;41;33
19.4.2018;1;10;22;26;34;40;33
15.4.2018;3;8;9;12;38;45;11
12.4.2018;1;4;10;12;28;30;6
8.4.2018;2;13;21;22;26;39;23
5.4.2018;17;23;27;30;35;41;13
1.4.2018;12;24;25;30;38;43;17
29.3.2018;10;21;25;28;37;41;16
25.3.2018;1;16;18;19;37;44;32
22.3.2018;12;20;25;30;38;42;2
18.3.2018;1;9;16;20;30;43;24
11.3.2018;2;6;20;26;29;35;7
4.3.2018;1;18;31;33;39;40;42
25.2.2018;2;3;35;37;41;45;7
18.2.2018;2;12;24;25;32;33;38
11.2.2018;2;3;15;16;41;42;19
4.2.2018;2;5;10;17;24;38;45
28.1.2018;20;37;39;40;42;45;36
21.1.2018;15;27;29;38;39;44;2
14.1.2018;1;6;21;23;36;38;29
7.1.2018;18;21;41;42;43;45;20
